Store Company ID,Company Name,Address 1,City,State,Zip,Country,Phone,company_name
1000874557,Papa Gino's Pizzeria,611 Memorial Dr,CHICOPEE,MA,01020-5057,United States of America,4135938844.0,papa_ginos_pizzeria
1000855162,Papa Gino's Pizzeria,301 King St,NORTHAMPTON,MA,01060-2370,United States of America,4135867237.0,papa_ginos_pizzeria
1000807052,Pizza Hut,1269 Main St,WORCESTER,MA,01603-1834,United States of America,5087532701.0,pizza_hut
1000881788,D'Angelo Grilled Sandwiches,801 Grafton St,WORCESTER,MA,01604-2339,United States of America,5084597848.0,dangelo_grilled_sandwiches
1000856997,D'Angelo Grilled Sandwiches,318 Park Ave,WORCESTER,MA,01609-1805,United States of America,5087566335.0,dangelo_grilled_sandwiches
1000963488,Papa John's Pizza,8 Hildreth St,MARLBOROUGH,MA,01752-2958,United States of America,5084800900.0,papa_johns_pizza
1000830711,D'Angelo Grilled Sandwiches,1245 Worcester St,NATICK,MA,01760-1561,United States of America,5086558279.0,dangelo_grilled_sandwiches
2000447215,Papa John's Pizza,320 Washington St,DEDHAM,MA,02026-1829,United States of America,7814075888.0,papa_johns_pizza
1000852002,D'Angelo Grilled Sandwiches,267 Old Colony Ave,SOUTH BOSTON,MA,02127-3520,United States of America,6172696488.0,dangelo_grilled_sandwiches
2000041070,California Pizza Kitchen,100 Cambridgeside Pl,CAMBRIDGE,MA,02141-2220,United States of America,6172252772.0,california_pizza_kitchen
2000306489,Uno Fresco,101 Main St,STONEHAM,MA,02180-3305,United States of America,7818504940.0,uno_fresco
1000827680,Little Caesars Pizza,1130 Newport Ave,SOUTH ATTLEBORO,MA,02703-7033,United States of America,5087618770.0,little_caesars_pizza
1000945185,Papa John's Pizza,260 Coggeshall St,NEW BEDFORD,MA,02746-1919,United States of America,5089797171.0,papa_johns_pizza
1000939152,Papa John's Pizza,183 Broadway,TAUNTON,MA,02780-2549,United States of America,5088807272.0,papa_johns_pizza
1000929352,Papa John's Pizza,1049 Cass Ave,WOONSOCKET,RI,02895-4932,United States of America,4017628595.0,papa_johns_pizza
1000816291,Pizza Hut,46 Crystal Ave,DERRY,NH,03038-1717,United States of America,6034340101.0,pizza_hut
2000464175,Pizza Hut,312 Elm St,MILFORD,NH,03055-4715,United States of America,6036738571.0,pizza_hut
1000835788,D'Angelo Grilled Sandwiches,1500 S Willow St,MANCHESTER,NH,03103-3220,United States of America,6036340029.0,dangelo_grilled_sandwiches
2000393630,Little Caesars Pizza,1100 Bicentennial Dr,MANCHESTER,NH,03104-2140,United States of America,6036272400.0,little_caesars_pizza
2000464174,Pizza Hut,835 Central St,FRANKLIN,NH,03235-2026,United States of America,6039343742.0,pizza_hut
2000464176,Pizza Hut,36 John Stark Hwy,NEWPORT,NH,03773-1808,United States of America,6038633311.0,pizza_hut
