Store Company ID,Industry ID,Industry Name,Company Name,Address 1,City,State,Zip,Listing Type,Country,Phone,Google Link,reviews_scraped,difference,proportion,review_count,company_name
2000626208,51,Locations: Chain Restaurants,Anthony's Coal Fired Pizza,2532 N McMullen Booth Rd,CLEARWATER,FL,33761-4150,Location,United States of America,7277970929.0,"https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@28.0135782,-82.709883,17z/data=!3m1!4b1!4m5!3m4!1s0x88c2eddf5d42e0eb:0x719c038197ef5a9c!8m2!3d28.0135782!4d-82.709883",80,-684.0,0.10471204188481677,764.0,anthonys_coal_fired_pizza
2000747544,51,Locations: Chain Restaurants,Anthony's Coal Fired Pizza,960 Dekalb Pike,BLUE BELL,PA,19422,Location,United States of America,6102752625.0,"https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.1649891,-75.2909696,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6bcd9cdd363d3:0x2f0e0ff721d69a1b!8m2!3d40.1649891!4d-75.2909696",20,-340.0,0.05555555555555555,360.0,anthonys_coal_fired_pizza
2000626635,51,Locations: Chain Restaurants,Blaze Pizza,5125 Dressler Rd NW,CANTON,OH,44718-2690,Location,United States of America,2342229389.0,"https://www.google.com/maps/place/Blaze+Pizza/@40.855559,-81.433057,17z/data=!3m1!4b1!4m5!3m4!1s0x8836d6cc21612fe1:0x24cda1bc7db79bd6!8m2!3d40.855559!4d-81.433057",880,-733.0,0.5455672659640421,1613.0,blaze_pizza
2000626735,51,Locations: Chain Restaurants,Blaze Pizza,1708 N High St,COLUMBUS,OH,43201-1105,Location,United States of America,6143828160.0,"https://www.google.com/maps/place/Blaze+Pizza/@39.997139,-83.007327,17z/data=!3m1!4b1!4m5!3m4!1s0x88388eb88d386215:0x800675e74d85e6d1!8m2!3d39.997139!4d-83.007327",640,-324.0,0.6639004149377593,964.0,blaze_pizza
2000626780,51,Locations: Chain Restaurants,Blaze Pizza,1100 W Montgomery Ave,PHILADELPHIA,PA,19122-2700,Location,United States of America,2153259878.0,"https://www.google.com/maps/place/Blaze+Pizza/@39.97949,-75.153364,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6c80a94383963:0x8f60b08689086092!8m2!3d39.97949!4d-75.153364",450,-130.0,0.7758620689655172,580.0,blaze_pizza
2000626781,51,Locations: Chain Restaurants,Blaze Pizza,1100 Jefferson Rd,ROCHESTER,NY,14623-3135,Location,United States of America,5852572855.0,"https://www.google.com/maps/place/Blaze+Pizza/@43.088862,-77.609268,17z/data=!3m1!4b1!4m5!3m4!1s0x89d14b1d3f6d3bf3:0x462d9a94b411bde2!8m2!3d43.088862!4d-77.609268",210,-659.0,0.2416570771001151,869.0,blaze_pizza
2000749217,51,Locations: Chain Restaurants,Blaze Pizza,1405 Cornerstone Blvd,DAYTONA BEACH,FL,32114,Location,United States of America,3868885570.0,"https://www.google.com/maps/place/Blaze+Pizza/@29.218564,-81.097294,17z/data=!3m1!4b1!4m5!3m4!1s0x88e6ddec916684f3:0x1ac3068ea87b5560!8m2!3d29.218564!4d-81.097294",510,-445.0,0.5340314136125655,955.0,blaze_pizza
2000749218,51,Locations: Chain Restaurants,Blaze Pizza,1507 C West Bay Area Blvd,WEBSTER,TX,77598,Location,United States of America,8322412998.0,"https://www.google.com/maps/place/Blaze+Pizza/@29.537744,-95.149783,17z/data=!3m1!4b1!4m5!3m4!1s0x86409b64c0e24357:0x4921989632eeca2d!8m2!3d29.537744!4d-95.149783",290,-226.0,0.562015503875969,516.0,blaze_pizza
2000749243,51,Locations: Chain Restaurants,Blaze Pizza,280 Eisenhower Pkwy,LIVINGSTON,NJ,7039,Location,United States of America,9737861822.0,"https://www.google.com/maps/place/Blaze+Pizza/@40.7981852,-74.3407125,17z/data=!3m1!4b1!4m5!3m4!1s0x89c3a90e0b198d15:0xdbc6851fd154d41c!8m2!3d40.7981852!4d-74.3407125",540,-174.0,0.7563025210084033,714.0,blaze_pizza
2000749254,51,Locations: Chain Restaurants,Blaze Pizza,3890 Thousand Oaks Blvd,THOUSAND OAKS,CA,91362,Location,United States of America,8057281217.0,"https://www.google.com/maps/place/Blaze+Pizza/@34.1612804,-118.8243004,17z/data=!3m1!4b1!4m5!3m4!1s0x80e824e3473fb6f1:0x8369992469a0f61a!8m2!3d34.1612804!4d-118.8243004",10,-232.0,0.04132231404958678,242.0,blaze_pizza
2000749210,51,Locations: Chain Restaurants,Blaze Pizza,1225 Veterans Square Blvd,CLARKSVILLE,IN,47129,Location,United States of America,8124064347.0,"https://www.google.com/maps/place/Blaze+Pizza/@38.2868454,-85.9138184,10z/data=!4m8!1m2!2m1!1sBlaze+Pizza+1225+Veterans+Square+Blvd+CLARKSVILLE+IN+47129!3m4!1s0x886971e79d21fb95:0x6a62774b6dba4c68!8m2!3d38.3289127!4d-85.7610731?hl=en",240,-364.0,0.3973509933774834,604.0,blaze_pizza
2000749219,51,Locations: Chain Restaurants,Blaze Pizza,1595 Niagara Falls Blvd,BUFFALO,NY,14228,Location,United States of America,7164422366.0,"https://www.google.com/maps/place/Blaze+Pizza/@42.9991944,-78.819836,17z/data=!3m1!4b1!4m5!3m4!1s0x89d3721146906d59:0xbc23528199ddf303!8m2!3d42.9991944!4d-78.819836",370,-744.0,0.33213644524236985,1114.0,blaze_pizza
2000749238,51,Locations: Chain Restaurants,Blaze Pizza,2348 Citadel Way,MELBOURNE,FL,32940,Location,United States of America,3212488586.0,"https://www.google.com/maps/place/Blaze+Pizza/@28.2447555,-80.7293655,17z/data=!3m1!4b1!4m5!3m4!1s0x88de079f70197bbd:0xada6ab0302a33022!8m2!3d28.2447555!4d-80.7293655",260,-578.0,0.3102625298329356,838.0,blaze_pizza
2000626592,51,Locations: Chain Restaurants,Blaze Pizza,8760 Michigan Rd,INDIANAPOLIS,IN,46268-1441,Location,United States of America,3173007490.0,"https://www.google.com/maps/place/Blaze+Pizza/@39.914107,-86.224476,17z/data=!3m1!4b1!4m5!3m4!1s0x886b552e727eaa01:0x648605233471768c!8m2!3d39.914107!4d-86.224476",630,-377.0,0.6256206554121152,1007.0,blaze_pizza
2000626608,51,Locations: Chain Restaurants,Blaze Pizza,691 Broad St,NEWARK,NJ,07102-4405,Location,United States of America,9732064278.0,"https://www.google.com/maps/place/Blaze+Pizza/@40.7384437,-74.1707908,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25381e097c591:0x566ebc97c9403c1b!8m2!3d40.7384437!4d-74.1707908",460,-967.0,0.322354590049054,1427.0,blaze_pizza
2000626657,51,Locations: Chain Restaurants,Blaze Pizza,4114 Sepulveda Blvd,CULVER CITY,CA,90230-4700,Location,United States of America,3103400638.0,"https://www.google.com/maps/place/Blaze+Pizza/@34.007028,-118.412409,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2ba3e4376d9c7:0xaccd84f048056fd0!8m2!3d34.007028!4d-118.412409",390,-109.0,0.781563126252505,499.0,blaze_pizza
2000626704,51,Locations: Chain Restaurants,Blaze Pizza,227 E Ontario St,CHICAGO,IL,60611-3385,Location,United States of America,3127660019.0,"https://www.google.com/maps/place/Blaze+Pizza/@41.8932451,-87.6218309,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2cab051721f1:0x6dbdeed67693cacd!8m2!3d41.8932451!4d-87.6218309",100,-567.0,0.14992503748125938,667.0,blaze_pizza
2000626705,51,Locations: Chain Restaurants,Blaze Pizza,225 W Avenida Vista Hermosa,SAN CLEMENTE,CA,92672-7717,Location,United States of America,9496122748.0,"https://www.google.com/maps/place/Blaze+Pizza/@33.439154,-117.629472,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcf3f7aba0f84d:0x62485c383fe22b62!8m2!3d33.439154!4d-117.629472",10,-562.0,0.017482517482517484,572.0,blaze_pizza
2000626683,51,Locations: Chain Restaurants,Blaze Pizza,301 W Esplanade Dr,OXNARD,CA,93036-1201,Location,United States of America,8057277121.0,"https://www.google.com/maps/place/Blaze+Pizza/@34.2332446,-119.1775793,17z/data=!3m1!4b1!4m5!3m4!1s0x80e84c51327bcfb5:0xd0155fdf44accab0!8m2!3d34.2332446!4d-119.1775793",300,-154.0,0.6607929515418502,454.0,blaze_pizza
2000626725,51,Locations: Chain Restaurants,Blaze Pizza,201 N Palm Canyon Dr,PALM SPRINGS,CA,92262-5525,Location,United States of America,7606844343.0,"https://www.google.com/maps/place/Blaze+Pizza/@33.825088,-116.547087,17z/data=!3m1!4b1!4m5!3m4!1s0x80db1ba524905d13:0x84f18b7fa9f6b132!8m2!3d33.825088!4d-116.547087",440,-777.0,0.3615447822514379,1217.0,blaze_pizza
2000626751,51,Locations: Chain Restaurants,Blaze Pizza,1403 Hillman St,TULARE,CA,93274-1600,Location,United States of America,5596434633.0,"https://www.google.com/maps/place/Blaze+Pizza/@36.226173,-119.331248,17z/data=!3m1!4b1!4m5!3m4!1s0x80952b8ead41fc7f:0xdc204875c6b3370!8m2!3d36.226173!4d-119.331248",310,-256.0,0.5477031802120141,566.0,blaze_pizza
2000626763,51,Locations: Chain Restaurants,Blaze Pizza,127 N El Camino Real,ENCINITAS,CA,92024-5399,Location,United States of America,7604528025.0,"https://www.google.com/maps/place/Blaze+Pizza/@33.048058,-117.257647,17z/data=!3m1!4b1!4m5!3m4!1s0x80dc0b8d3ddc6c9f:0xfc24c45ddc24b0a8!8m2!3d33.048058!4d-117.257647",20,-209.0,0.08733624454148471,229.0,blaze_pizza
2000626778,51,Locations: Chain Restaurants,Blaze Pizza,1110 Concord Ave,CONCORD,CA,94520-5657,Location,United States of America,9252344706.0,"https://www.google.com/maps/place/Blaze+Pizza/@37.979073,-122.058023,17z/data=!3m1!4b1!4m5!3m4!1s0x808566ea8a8b0189:0x8932338005def79!8m2!3d37.979073!4d-122.058023",10,-611.0,0.01610305958132045,621.0,blaze_pizza
