Store Company ID,Company Name,Address 1,City,State,Zip,Country,Phone,company_name
2000407378,Papa John's Pizza,670 Broadway St,CHICOPEE,MA,01020-2415,United States of America,4133313965.0,papa_johns_pizza
2000242724,Little Caesars Pizza,459 E Main St,WESTFIELD,MA,01085-3312,United States of America,4135623333.0,little_caesars_pizza
2000329435,Papa John's Pizza,1490 Allen St,SPRINGFIELD,MA,01118-1817,United States of America,4133639616.0,papa_johns_pizza
2000329689,Papa John's Pizza,856 State Rd,NORTH ADAMS,MA,01247-3027,United States of America,4136637272.0,papa_johns_pizza
1000861045,Papa Gino's Pizzeria,372 Union St,ASHLAND,MA,01721-2154,United States of America,5088812112.0,papa_ginos_pizzeria
1000888071,Papa Gino's Pizzeria,94 Medway Rd,MILFORD,MA,01757-2906,United States of America,5084787706.0,papa_ginos_pizzeria
1000888328,Papa Gino's Pizzeria,117 Great Rd,STOW,MA,01775-1191,United States of America,9788979101.0,papa_ginos_pizzeria
1000860226,Papa Gino's Pizzeria,360 Cambridge Rd,WOBURN,MA,01801-6037,United States of America,7819355022.0,papa_ginos_pizzeria
1000822491,Chuck E. Cheese's,10 Wall St,BURLINGTON,MA,01803-4749,United States of America,7812292024.0,chuck_e_cheeses
1000854642,Papa Gino's Pizzeria,3 Ferry St,BRADFORD,MA,01835-7441,United States of America,9783725400.0,papa_ginos_pizzeria
2000183072,Papa John's Pizza,49 Jackson St,METHUEN,MA,01844-5044,United States of America,9786857272.0,papa_johns_pizza
1000872745,D'Angelo Grilled Sandwiches,573 High St,DEDHAM,MA,02026-1858,United States of America,7813296650.0,dangelo_grilled_sandwiches
2000329381,Papa John's Pizza,111 Lenox St,NORWOOD,MA,02062-4279,United States of America,7814400280.0,papa_johns_pizza
1000966924,Papa John's Pizza,971 Tremont St,BOSTON,MA,02120-2270,United States of America,6179047272.0,papa_johns_pizza
1000932421,Papa John's Pizza,1224 Dorchester Ave,DORCHESTER,MA,02125-1518,United States of America,6172880088.0,papa_johns_pizza
2000447216,Papa John's Pizza,522 River St,MATTAPAN,MA,02126-3014,United States of America,6173229698.0,papa_johns_pizza
2000182608,Sbarro,1 Harborside Dr,BOSTON,MA,02128-2907,United States of America,6175695409.0,sbarro
2000629827,PizzaRev,100 Cambridge St,CAMBRIDGE,MA,02141-1819,United States of America,8578293135.0,pizzarev
2000463202,Little Caesars Pizza,983 Broadway,EVERETT,MA,02149-3144,United States of America,6172948862.0,little_caesars_pizza
1000867735,Papa Gino's Pizzeria,100 Granite St,QUINCY,MA,02169-5043,United States of America,6177869088.0,papa_ginos_pizzeria
2000329651,Papa John's Pizza,657 Southern Artery,QUINCY,MA,02169-5645,United States of America,6174815373.0,papa_johns_pizza
2000002701,Papa Gino's Pizzeria,17 Airport Rd,WARWICK,RI,02889-1001,United States of America,4014902972.0,papa_ginos_pizzeria
1000851483,Papa Gino's Pizzeria,261 Daniel Webster Hwy,NASHUA,NH,03060-5740,United States of America,6038887662.0,papa_ginos_pizzeria
2000172874,Little Caesars Pizza,200 S Main St,WEST LEBANON,NH,03784-2014,United States of America,6032987386.0,little_caesars_pizza
1000854697,Chuck E. Cheese's,30 Fox Run Rd,NEWINGTON,NH,03801-2810,United States of America,6034311367.0,chuck_e_cheeses
2000464177,Pizza Hut,1855 Woodbury Ave,PORTSMOUTH,NH,03801-3228,United States of America,6034317577.0,pizza_hut
1000939603,Papa John's Pizza,190 Bath Rd,BRUNSWICK,ME,04011-2617,United States of America,2077219990.0,papa_johns_pizza
1000929476,Papa John's Pizza,1053 Forest Ave,PORTLAND,ME,04103-3380,United States of America,2078789100.0,papa_johns_pizza
2000463937,Pizza Hut,190 Waterman Dr,SOUTH PORTLAND,ME,04106-3633,United States of America,2077990455.0,pizza_hut
2000172757,Little Caesars Pizza,1 Chandler Dr,BATH,ME,04530-1522,United States of America,2073894323.0,little_caesars_pizza
1000808229,Pizza Hut,15 Belmont Ave,BELFAST,ME,04915-6864,United States of America,2079307272.0,pizza_hut
2000424801,Pizza Hut,166 Sycamore St,WILLISTON,VT,05495-8217,United States of America,8028575419.0,pizza_hut
2000424800,Pizza Hut,60 Commons Dr,NEWPORT,VT,05855-4534,United States of America,8023347272.0,pizza_hut
2000463573,Pizza Hut,1086 Silas Deane Hwy,WETHERSFIELD,CT,06109-4231,United States of America,8605630000.0,pizza_hut
2000463571,Pizza Hut,360 Queen St,SOUTHINGTON,CT,06489-1883,United States of America,8606288999.0,pizza_hut
2000242723,Little Caesars Pizza,454 Whalley Ave,NEW HAVEN,CT,06511-3012,United States of America,2037529797.0,little_caesars_pizza
1000909392,Domino's,1088 Boston Post Rd,WEST HAVEN,CT,06516-2248,United States of America,2039375355.0,dominos
2000334420,Villa Fresh Italian Kitchen,495 Union St,WATERBURY,CT,06706-1292,United States of America,2035284711.0,villa_fresh_italian_kitchen
2000041220,California Pizza Kitchen,230 Tresser Blvd,STAMFORD,CT,06901-3526,United States of America,2034060530.0,california_pizza_kitchen
1000808559,Pizza Hut,1545 US Highway 46,FORT LEE,NJ,07024-2117,United States of America,2015926611.0,pizza_hut
1000923971,Domino's,648 Bloomfield Ave,VERONA,NJ,07044-1804,United States of America,9738570600.0,dominos
2000464188,Pizza Hut,250 Central Ave,NEWARK,NJ,07103-4201,United States of America,9737327888.0,pizza_hut
1000821408,Pizza Hut,950 State Rt 17,RAMSEY,NJ,07446-1607,United States of America,2018184651.0,pizza_hut
2000334436,Bananas Ultimate Juice Bar,1 Premium Outlet Blvd,TINTON FALLS,NJ,07753-7469,United States of America,7324930501.0,bananas_ultimate_juice_bar
1000806912,Pizza Hut,124 Water St,NEWTON,NJ,07860-1415,United States of America,9735792261.0,pizza_hut
1000898257,Villa Fresh Italian Kitchen,301 Mount Hope Ave,ROCKAWAY,NJ,07866-2117,United States of America,9739894266.0,villa_fresh_italian_kitchen
2000464198,Pizza Hut,5361 Route 42,TURNERSVILLE,NJ,08012-1054,United States of America,,pizza_hut
1000815016,Pizza Hut,3820 Route 42,TURNERSVILLE,NJ,08012-1717,United States of America,8568758802.0,pizza_hut
1000941159,Papa John's Pizza,203 Scotch Rd,EWING,NJ,08628-2511,United States of America,6095300860.0,papa_johns_pizza
2000640255,Sbarro,885 8th Ave,NEW YORK,NY,10019-5761,United States of America,9173832110.0,sbarro
1000953198,Papa John's Pizza,4221 Broadway,WASHINGTON HEIGHTS,NY,10033,United States of America,2127957272.0,papa_johns_pizza
1000932997,Papa John's Pizza,1267 Forest Ave,STATEN ISLAND,NY,10302-2311,United States of America,7189817272.0,papa_johns_pizza
2000012668,Little Caesars Pizza,3044 3rd Ave,BRONX,NY,10451-4799,United States of America,6463935206.0,little_caesars_pizza
2000172904,Little Caesars Pizza,496 E 138th St,BRONX,NY,10454-3199,United States of America,9177377793.0,little_caesars_pizza
2000172900,Little Caesars Pizza,3572 White Plains Rd,BRONX,NY,10467-5711,United States of America,7187086381.0,little_caesars_pizza
2000393654,Little Caesars Pizza,3533 Boston Rd,BRONX,NY,10469-2523,United States of America,3474270878.0,little_caesars_pizza
